names,session,visit,lead,n_nmean,sdnn,rmssd,pnn50,ulf,vlf,lf,hf,lfhf,ttlpwr,ac,dc,samp_en,ap_en
rrj11,19,3,Vx,337.46019242424245,6.774896066666667,1.8578177684671304,0.004333529596969697,5.195717428545454,48.25401647272727,1.941723052458923,1.4981335769114803,1.7227272727272727,123.19179581212121,-0.8119185654545454,0.680564066060606,1.098814607878788,1.0560660384848484
rzs14,24,1,aVF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rzs14,24,1,aVL,478.0598727272727,7.359732681818182,2.040088895580225,0,5.204395798772727,38.45846363636364,3.0601436264208655,2.7299547801367225,1.4495454545454545,81.28472363636364,-1.5302609090909092,1.1770774636363637,1.8629922272727273,1.084888181818182
rzs14,24,1,aVR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rzs14,24,1,LI,472.5346,8.1500444,2.037782801510413,0,15.1464,58.923874,3.092750681958769,2.801553227738994,1.39,113.465178,-1.6192895999999999,1.20984192,1.8698873999999999,1.0650766
rzs14,24,1,LII,478.3036318181818,10.497548318181819,2.5984385536780845,0.012265419045454544,5.728165701818182,40.017112272727275,3.2438214347152914,3.385733647050724,0.9195454545454546,102.86541272727273,-1.645088409090909,1.1147358818181818,1.8421572272727273,1.1181101090909091
rzs14,24,1,LIII,478.0580727272727,7.189442545454545,1.9850828488939243,0,5.210707700636363,38.55847045454546,3.0510429010199465,2.6586727686672593,1.5522727272727272,80.25117772727273,-1.284882259090909,1.114035659090909,1.8028969545454545,1.0964935954545454
rzs14,24,1,Vx,478.05745454545456,7.249405863636364,1.9844041043518152,0,5.223880929,38.593973181818185,3.0696496496002625,2.7258925443781776,1.4663636363636363,81.60218363636363,-1.5639177272727274,1.3171792272727272,1.8894891363636364,1.1115541818181818
rzs14,28,2,aVF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rzs14,28,2,aVL,451.1826318181818,9.070918863636363,2.1935605697646263,1.696065e-4,5.064169459636363,52.32111772727273,3.2207031903085013,3.7950355251789594,0.5972727272727273,128.48827954545456,-2.7050045,2.3559494545454545,2.082371818181818,1.0047799954545455
rzs14,28,2,aVR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rzs14,28,2,LI,451.1849909090909,8.693122727272726,2.0808612460688347,0,5.082050288954545,52.61359090909091,3.204857639610067,3.7613638226007406,0.6081818181818182,126.74289772727273,-2.7538913636363636,2.366289863636364,2.0801253636363635,1.0408034363636363
rzs14,28,2,LII,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rzs14,28,2,LIII,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rzs14,28,2,Vx,451.19608636363637,8.75151140909091,2.1080816220365546,0,5.078786222545454,52.20825,3.1909811824564773,3.7914128903927744,0.5836363636363636,127.37856090909091,-2.739833681818182,2.2303308636363637,2.0348585454545454,1.0216340590909092
rzs14,30,3,aVF,409.50749411764707,5.044117,1.6441265990565788,0,1.4770260198235294,27.211546,2.3163838837396074,1.01407032256567,3.909411764705882,42.29716176470588,-0.7856603588235294,0.6860846823529412,1.3683007647058822,1.1736570588235293
rzs14,30,3,aVL,409.2676333333333,5.2828116666666665,1.7431059031855833,0,2.7298545172857143,29.89790961904762,2.2399791743897097,0.8144197586976014,4.55,44.95766428571429,-0.6812608047619048,0.6819418714285714,1.2909732857142857,1.116213619047619
rzs14,30,3,aVR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rzs14,30,3,LI,409.2670761904762,5.234080523809524,1.7013474598342584,0,2.745792932857143,29.90290280952381,2.233798165288184,0.98266280941294,3.6776190476190473,45.37789380952381,-0.7263368571428571,0.7178643761904762,1.3500502380952382,1.126272857142857
rzs14,30,3,LII,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
